INFO_SATNAME,INFO_NORAD_NUMBER,INFO_OBJECT_TYPE,INFO_TYPE_OF_ORBIT,INFO_COUNTRY,INFO_CLASS_OF_ORBIT,PERIOD,INCLINATION,APOGEE,PERIGEE,LAUNCH_YEAR,CURRENT,EXPECTED_LIFETIME_YRS,LAUNCH_MASS_KG,TIME_IN_ORBIT,COUNTRY_GROUPED_CIS,COUNTRY_GROUPED_PRC,COUNTRY_GROUPED_REST,COUNTRY_GROUPED_UK,COUNTRY_GROUPED_US,PURPOSE_COMMUNICATIONS,PURPOSE_EARTH_OBSERVATION,PURPOSE_OTHER,PURPOSE_TECHNOLOGY_DEVELOPMENT,RCS_SIZE_ENC,CLASS_OF_ORBIT_ENC
FLOCK 4X 26,51026,PAYLOAD,Sun-Synchronous,US,LEO,0.0001333965731902531,0.9876204972095382,0.0003610008053094886,0.0001963314074157176,0.956521739130423,0.0,0.07692307692307693,0.0006516780710329097,0.056016597510373446,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
STARLINK-1344,45559,PAYLOAD,Non-Polar Inclined,US,LEO,0.0002890259085788771,0.5378995433789954,0.00041653939074171725,0.0007292309418298086,0.8695652173912976,0.0,0.15384615384615385,0.036656891495601175,0.12402028584601199,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-5422,54804,PAYLOAD,Non-Polar Inclined,US,LEO,0.006032489476492556,0.5398274987316082,0.010968870622865235,0.011387221630111629,0.956521739130423,1.0,0.15384615384615385,0.04203323558162268,0.05428769017980636,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-3616,51782,PAYLOAD,Non-Polar Inclined,US,LEO,0.006032489476492556,0.5398274987316082,0.010968870622865235,0.011387221630111629,0.956521739130423,1.0,0.15384615384615385,0.04203323558162268,0.08828953434762563,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
KAZEOSAT 1,39731,PAYLOAD,Sun-Synchronous,KAZ,LEO,0.009308116440386552,0.9978691019786909,0.016855960678681513,0.017333258540416223,0.6086956521739069,1.0,0.40384615384615385,0.13489736070381234,0.4177040110650069,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
STARLINK-3087,49175,PAYLOAD,Polar,US,LEO,0.0065216102448568125,0.7100963977676306,0.011885257282497015,0.012256689291524092,0.9130434782608603,1.0,0.15384615384615385,0.04203323558162268,0.10719225449515904,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-3341,50817,PAYLOAD,Non-Polar Inclined,US,LEO,0.006032489476492556,0.5398274987316082,0.010968870622865235,0.011387221630111629,0.956521739130423,1.0,0.15384615384615385,0.04203323558162268,0.09405255878284924,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-1423,45710,PAYLOAD,Non-Polar Inclined,US,LEO,0.006143653287484438,0.5381024860476914,0.011163255671878038,0.011583553037527347,0.8695652173912976,1.0,0.15384615384615385,0.036656891495601175,0.16101890272014752,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-1183,45088,PAYLOAD,Non-Polar Inclined,US,LEO,0.006143653287484438,0.5381024860476914,0.011191024964594152,0.011583553037527347,0.8695652173912976,1.0,0.15384615384615385,0.036656891495601175,0.17565698478561548,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-4098,53153,PAYLOAD,Non-Polar Inclined,US,LEO,0.006032489476492556,0.5398274987316082,0.010968870622865235,0.011387221630111629,0.956521739130423,1.0,0.15384615384615385,0.04203323558162268,0.07192254495159059,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-4774,56138,PAYLOAD,Non-Polar Inclined,US,LEO,0.006328926305804228,0.4361237950279046,0.011496487184471412,0.01192012116452572,1.0,1.0,0.15384615384615385,0.0469208211143695,0.0425311203319502,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
ICEYE-X5,44389,PAYLOAD,Sun-Synchronous,FIN,LEO,0.005046837019031247,0.9934043632673769,0.009302713059898365,0.009451954899870982,0.8260869565217348,1.0,0.20000000000000004,0.012707722385141739,0.1996311664361457,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
YAOGAN-36 01B,53946,PAYLOAD,Non-Polar Inclined,PRC,LEO,0.0006373391830200997,0.3546423135464231,0.001194079586792924,0.0012621304762438995,0.956521739130423,0.0,0.36923076923076925,0.04855001629195178,0.012217611802674049,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
STARLINK-3097,49448,PAYLOAD,Non-Polar Inclined,US,LEO,0.00024456038418212145,0.5396245560629122,0.000444308683457832,0.0005048521904975596,0.9130434782608603,0.0,0.15384615384615385,0.04203323558162268,0.0425311203319502,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
