INFO_SATNAME,INFO_NORAD_NUMBER,INFO_OBJECT_TYPE,INFO_TYPE_OF_ORBIT,INFO_COUNTRY,INFO_CLASS_OF_ORBIT,PERIOD,INCLINATION,APOGEE,PERIGEE,LAUNCH_YEAR,CURRENT,EXPECTED_LIFETIME_YRS,LAUNCH_MASS_KG,TIME_IN_ORBIT,COUNTRY_GROUPED_CIS,COUNTRY_GROUPED_PRC,COUNTRY_GROUPED_REST,COUNTRY_GROUPED_UK,COUNTRY_GROUPED_US,PURPOSE_COMMUNICATIONS,PURPOSE_EARTH_OBSERVATION,PURPOSE_OTHER,PURPOSE_TECHNOLOGY_DEVELOPMENT,RCS_SIZE_ENC,CLASS_OF_ORBIT_ENC
IRIDIUM 148,43255,PAYLOAD,Polar,US,LEO,0.009708306159957311,0.8764079147640791,0.017577962289300492,0.0180344421383295,0.7826086956521721,1.0,1.0,0.13978494623655915,0.2528815122176118,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
BUCCANEER RMM,43014,PAYLOAD,,AUS,LEO,0.0002593822256477252,0.9894469812278031,0.000583155147038405,0.00044875750266449785,0.7391304347826093,0.0,0.23076923076923078,0.00032583903551645487,0.22786998616874132,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0
NAVSTAR 74 (USA 262),40730,PAYLOAD,Non-Polar Inclined,US,MEO,0.46742159245864695,0.5510908168442414,0.5641609508205826,0.554552083917653,0.6521739130434696,1.0,0.7692307692307693,0.26523297491039427,0.3668741355463347,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333
YAOGAN-31 K,47854,PAYLOAD,Non-Polar Inclined,PRC,LEO,0.014621746605798305,0.6432267884322678,0.02904668018105579,0.023924384360801035,0.9130434782608603,1.0,0.46153846153846156,0.08113391984359726,0.1285154449054864,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
YAOGAN 20A,40109,PAYLOAD,Non-Polar Inclined,PRC,LEO,0.014621746605798305,0.6430238457635717,0.03351753630835022,0.019408761990239526,0.6086956521739069,1.0,0.46153846153846156,0.1638970348647768,0.40606270170585523,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
STARLINK-1271,45217,PAYLOAD,Non-Polar Inclined,US,LEO,0.006143653287484438,0.5382039573820395,0.011163255671878038,0.011611600381443878,0.8695652173912976,1.0,0.15384615384615385,0.036656891495601175,0.17346703550023052,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
COSMOS 2554,52202,PAYLOAD,Non-Polar Inclined,CIS,LEO,0.011709254757811108,0.6811770674784373,0.02118797034239538,0.02156840747181242,0.956521739130423,1.0,0.23076923076923078,0.8142717497556208,0.08356385431074226,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
STARLINK-2069,47359,PAYLOAD,Non-Polar Inclined,US,LEO,0.004668880061658859,0.5378995433789954,0.008552942156563272,0.008806865989790767,0.9130434782608603,1.0,0.15384615384615385,0.04203323558162268,0.13450899031811894,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-4104,53163,PAYLOAD,Non-Polar Inclined,US,LEO,0.006032489476492556,0.5398274987316082,0.010968870622865235,0.011387221630111629,0.956521739130423,1.0,0.15384615384615385,0.04203323558162268,0.07192254495159059,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-4354,53223,PAYLOAD,Sun-Synchronous,US,LEO,0.00028161498784609607,0.9904616945712834,0.0006664630251867485,0.00044875750266449785,0.956521739130423,0.0,0.15384615384615385,0.04203323558162268,0.04921622867680959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-2642,48437,PAYLOAD,Non-Polar Inclined,US,LEO,0.006143653287484438,0.5382039573820395,0.011191024964594152,0.011583553037527347,0.9130434782608603,1.0,0.15384615384615385,0.04203323558162268,0.12194559704933147,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
IRIDIUM 150,43257,PAYLOAD,Polar,US,LEO,0.009708306159957311,0.8764079147640791,0.017577962289300492,0.0180344421383295,0.7826086956521721,1.0,1.0,0.13978494623655915,0.2528815122176118,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-1770,46383,PAYLOAD,Non-Polar Inclined,US,LEO,0.006143653287484438,0.5382039573820395,0.011163255671878038,0.011583553037527347,0.8695652173912976,1.0,0.15384615384615385,0.04203323558162268,0.15053019824804056,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-1376,45570,PAYLOAD,Non-Polar Inclined,US,LEO,0.006143653287484438,0.5382039573820395,0.011163255671878038,0.011583553037527347,0.8695652173912976,1.0,0.15384615384615385,0.036656891495601175,0.16597510373443983,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
