INFO_SATNAME,INFO_NORAD_NUMBER,INFO_OBJECT_TYPE,INFO_TYPE_OF_ORBIT,INFO_COUNTRY,INFO_CLASS_OF_ORBIT,PERIOD,INCLINATION,APOGEE,PERIGEE,LAUNCH_YEAR,CURRENT,EXPECTED_LIFETIME_YRS,LAUNCH_MASS_KG,TIME_IN_ORBIT,COUNTRY_GROUPED_CIS,COUNTRY_GROUPED_PRC,COUNTRY_GROUPED_REST,COUNTRY_GROUPED_UK,COUNTRY_GROUPED_US,PURPOSE_COMMUNICATIONS,PURPOSE_EARTH_OBSERVATION,PURPOSE_OTHER,PURPOSE_TECHNOLOGY_DEVELOPMENT,RCS_SIZE_ENC,CLASS_OF_ORBIT_ENC
STARLINK-3160,49454,PAYLOAD,Non-Polar Inclined,US,LEO,0.006032489476492556,0.5398274987316082,0.010968870622865235,0.011387221630111629,0.9130434782608603,1.0,0.15384615384615385,0.04203323558162268,0.10027662517289074,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
CELTEE 1,41850,PAYLOAD,Sun-Synchronous,US,LEO,0.00578792909231042,0.9953323186199897,0.010524561939407404,0.010938464127447131,0.6956521739130324,1.0,0.09230769230769231,0.00016291951775822744,0.31097279852466575,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
IRIDIUM 104,41922,PAYLOAD,Polar,US,LEO,0.009708306159957311,0.8764079147640791,0.017577962289300492,0.0180344421383295,0.7391304347826093,1.0,1.0,0.13978494623655915,0.3035961272475795,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-1458,45675,PAYLOAD,Non-Polar Inclined,US,LEO,0.006143653287484438,0.5381024860476914,0.011163255671878038,0.011583553037527347,0.8695652173912976,1.0,0.15384615384615385,0.036656891495601175,0.16101890272014752,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-4483,53532,PAYLOAD,Non-Polar Inclined,US,LEO,0.006032489476492556,0.5398274987316082,0.010968870622865235,0.011387221630111629,0.956521739130423,1.0,0.15384615384615385,0.04203323558162268,0.068118948824343,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
ONEWEB-0263,48981,PAYLOAD,Polar,UK,LEO,0.016355902057271596,0.8917300862506342,0.02924106523006859,0.029842373927189095,0.9130434782608603,1.0,0.23076923076923078,0.023786249592701206,0.11583679114799447,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
SPARK 1,41900,PAYLOAD,Sun-Synchronous,PRC,LEO,0.008441038714649907,0.9993911719939117,0.015745188970036933,0.015313849778425983,0.6956521739130324,1.0,0.07692307692307693,0.007820136852394917,0.3063623789764868,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0
BEIDOU 3 IGSO-3,44709,PAYLOAD,,PRC,GEO,0.9996813304084898,0.563165905631659,0.9948626808475188,0.9949234307511079,0.8260869565217348,1.0,0.46153846153846156,0.6839361355490388,0.18556938681420007,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666
ONEWEB-0306,49188,PAYLOAD,Polar,UK,LEO,0.016229916404814138,0.8918315575849821,0.029018910888339678,0.02958994783194032,0.9130434782608603,1.0,0.23076923076923078,0.023786249592701206,0.10719225449515904,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
COSMOS 2481,38733,PAYLOAD,Polar,CIS,LEO,0.02119523329578467,0.8367326230339929,0.037877315264780206,0.037835866943400465,0.5217391304347814,1.0,0.23076923076923078,0.045291625936787226,0.49158598432457357,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0
STARLINK-4600,53628,PAYLOAD,Non-Polar Inclined,US,LEO,0.006032489476492556,0.5398274987316082,0.010968870622865235,0.011387221630111629,0.956521739130423,1.0,0.15384615384615385,0.04203323558162268,0.06708160442600275,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-5688,55479,PAYLOAD,Non-Polar Inclined,US,LEO,0.006328926305804228,0.4362252663622526,0.011524256477187526,0.01189207382060919,1.0,1.0,0.15384615384615385,0.0469208211143695,0.04887044721069617,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-1790,46691,PAYLOAD,Non-Polar Inclined,US,LEO,0.006143653287484438,0.5381024860476914,0.011163255671878038,0.011583553037527347,0.8695652173912976,1.0,0.15384615384615385,0.04203323558162268,0.1453434762563393,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
OBJECT E,44314,UNKNOWN,Non-Polar Inclined,PRC,LEO,0.005335862927610124,0.4562151192288178,0.009913637499652884,0.00987266505861895,0.8260869565217348,1.0,0.23076923076923078,0.014076246334310852,0.20308898109727985,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0
ONEWEB-0321,49191,PAYLOAD,Polar,UK,LEO,0.016103930752356665,0.8920345002536784,0.028824525839326872,0.02936556908060807,0.9130434782608603,1.0,0.23076923076923078,0.023786249592701206,0.10719225449515904,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-5537,55384,PAYLOAD,Non-Polar Inclined,US,LEO,0.006328926305804228,0.4361237950279046,0.011496487184471412,0.01192012116452572,1.0,1.0,0.15384615384615385,0.0469208211143695,0.049677270631627475,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-4479,53415,PAYLOAD,Non-Polar Inclined,US,LEO,0.006032489476492556,0.5398274987316082,0.010968870622865235,0.011387221630111629,0.956521739130423,1.0,0.15384615384615385,0.04203323558162268,0.06915629322268327,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
GEO-KOMPSAT-2A,43823,PAYLOAD,,SKOR,GEO,0.9996072212011621,0.00030441400304414,0.9900030546221987,0.9997195265608346,0.7826086956521721,1.0,0.6153846153846154,0.5710329097425872,0.22418165053019823,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6666666666666666
LEMUR 2 TACHIKOMA,41996,PAYLOAD,Sun-Synchronous,US,LEO,0.00012598565245745819,0.9859969558599694,0.00038877009802560335,0.0001402367195826558,0.7391304347826093,0.0,0.07692307692307693,0.0013033561420658195,0.2036652835408022,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
